#  Table crwfpc2comp$wfpc2_f437n_003.tab  Thu 11:00:10 20-Jul-95

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      1850.0    6.7793E-7           0.
      1900.0    7.5833E-7           0.
      1950.0    3.3147E-7           0.
      2000.0    3.3147E-7           0.
      2050.0    3.3147E-7           0.
      2100.0    3.3147E-7           0.
      2150.0    3.3147E-7           0.
      2200.0    3.3147E-7           0.
      2250.0    3.3147E-7           0.
      2300.0    3.3147E-7           0.
      2350.0    3.3147E-7           0.
      2400.0    3.3147E-7           0.
      2450.0    3.3147E-7           0.
      2500.0    3.3147E-7           0.
      2550.0    3.3147E-7           0.
      2600.0    3.3147E-7           0.
      2650.0    3.3147E-7           0.
      2700.0    3.3147E-7           0.
      2750.0    3.3147E-7           0.
      2800.0    3.3147E-7           0.
      2850.0    3.3147E-7           0.
      2900.0    3.3147E-7           0.
      2950.0    3.3147E-7           0.
      3000.0    3.3147E-7           0.
      3050.0    3.3147E-7           0.
      3100.0    3.3147E-7           0.
      3150.0    3.3147E-7           0.
      3200.0    3.3147E-7           0.
      3250.0    3.3147E-7           0.
      3300.0    3.3147E-7           0.
      3350.0    3.3147E-7           0.
      3400.0    3.3147E-7           0.
      3450.0    3.3147E-7           0.
      3500.0    3.3147E-7           0.
      3550.0    3.3147E-7           0.
      3600.0    3.3147E-7           0.
      3650.0    3.3147E-7           0.
      3700.0    3.3147E-7           0.
      3750.0    3.3147E-7           0.
      3800.0    3.3147E-7           0.
      3850.0    3.3147E-7           0.
      3900.0    3.3147E-7           0.
      3950.0    3.3147E-7           0.
      4000.0    3.3147E-7           0.
      4050.0    3.3147E-7           0.
      4100.0    3.3147E-7           0.
      4150.0    3.3147E-7           0.
      4200.0    3.3147E-7           0.
      4250.0    1.7265E-6           0.
      4308.0    2.0966E-4           0.
      4310.0    2.2737E-4           0.
      4312.0    1.9802E-4           0.
      4314.0    2.4666E-4           0.
      4316.0    2.9006E-4           0.
      4318.0    2.9006E-4           0.
      4320.0    3.5296E-4           0.
      4322.0    4.1942E-4           0.
      4324.0    4.7561E-4           0.
      4326.0    6.6629E-4           0.
      4328.0    8.3140E-4           0.
      4330.0    0.0011112           0.
      4332.0    0.0016018           0.
      4334.0    0.0022874           0.
      4336.0    0.0034426           0.
      4338.0    0.0054658           0.
      4340.0    0.0088811           0.
      4342.0     0.014728           0.
      4344.0     0.025012           0.
      4346.0     0.041617           0.
      4348.0     0.069145           0.
      4350.0      0.11248           0.
      4352.0      0.17779           0.
      4354.0      0.26983           0.
      4356.0      0.36805           0.
      4358.0      0.44846           0.
      4360.0      0.49039           0.
      4362.0      0.50454           0.
      4364.0      0.51177           0.
      4366.0      0.51712           0.
      4368.0      0.52027           0.
      4370.0      0.51691           0.
      4372.0      0.50737           0.
      4374.0      0.49532           0.
      4376.0      0.48441           0.
      4378.0      0.47393           0.
      4380.0      0.45569           0.
      4382.0      0.41229           0.
      4384.0      0.32549           0.
      4386.0      0.21794           0.
      4388.0      0.12296           0.
      4390.0     0.065958           0.
      4392.0     0.036323           0.
      4394.0     0.020274           0.
      4396.0     0.012234           0.
      4398.0    0.0076693           0.
      4400.0    0.0049332           0.
      4402.0    0.0034258           0.
      4404.0    0.0024163           0.
      4406.0    0.0017255           0.
      4408.0    0.0012915           0.
      4410.0    9.6128E-4           0.
      4412.0    7.3087E-4           0.
      4414.0    6.4512E-4           0.
      4416.0    5.5937E-4           0.
      4418.0    4.1942E-4           0.
      4420.0    3.5296E-4           0.
      4422.0    3.0725E-4           0.
      4424.0    3.1459E-4           0.
      4426.0    2.2737E-4           0.
      4428.0    2.2737E-4           0.
      4430.0    2.0966E-4           0.
      4432.0    2.0966E-4           0.
      4434.0    2.0966E-4           0.
      4436.0    1.8261E-4           0.
      4438.0    1.3837E-4           0.
      4440.0    1.5903E-4           0.
      4442.0    1.3837E-4           0.
