#  Table crwfpc2comp$wfpc2_f160bw_004.tab  Thu 08:19:08 15-May-97

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      3140.0   5.7276E-10           0.
      3150.0   5.4466E-10           0.
      3160.0   5.1821E-10           0.
      3170.0   4.9331E-10           0.
      3180.0   4.6985E-10           0.
      3190.0   4.4773E-10           0.
      3200.0   4.2686E-10           0.
      3210.0   4.0717E-10           0.
      3220.0   3.8857E-10           0.
      3230.0   3.7101E-10           0.
      3240.0   3.5439E-10           0.
      3250.0   3.3868E-10           0.
      3260.0   3.2382E-10           0.
      3270.0   3.0975E-10           0.
      3280.0   2.9641E-10           0.
      3290.0   2.8377E-10           0.
      3300.0   2.7179E-10           0.
      3310.0   2.6043E-10           0.
      3320.0   2.4964E-10           0.
      3330.0   2.3940E-10           0.
      3340.0   2.2967E-10           0.
      3350.0   2.2042E-10           0.
      3360.0   2.1163E-10           0.
      3370.0   2.0326E-10           0.
      3380.0   1.9530E-10           0.
      3390.0   1.8773E-10           0.
      3400.0   1.8051E-10           0.
      3410.0   1.7363E-10           0.
      3420.0   1.6708E-10           0.
      3430.0   1.6083E-10           0.
      3440.0   1.5486E-10           0.
      3450.0   1.4917E-10           0.
      3460.0   1.4374E-10           0.
      3470.0   1.3855E-10           0.
      3480.0   1.3359E-10           0.
      3490.0   1.2885E-10           0.
      3500.0   1.2432E-10           0.
      3510.0   1.1999E-10           0.
      3520.0   1.1584E-10           0.
      3530.0   1.1187E-10           0.
      3540.0   1.0807E-10           0.
      3550.0   1.0443E-10           0.
      3560.0   1.0094E-10           0.
      3570.0   9.7599E-11           0.
      3580.0   9.4395E-11           0.
      3590.0   9.1321E-11           0.
      3600.0   8.8372E-11           0.
      3610.0   8.5542E-11           0.
      3620.0   8.2825E-11           0.
      3630.0   8.0216E-11           0.
      3640.0   7.7710E-11           0.
      3650.0   7.5302E-11           0.
      3660.0   7.2988E-11           0.
      3670.0   7.0763E-11           0.
      3680.0   6.8623E-11           0.
      3690.0   6.6564E-11           0.
      3700.0   6.4584E-11           0.
      3710.0   6.2677E-11           0.
      3720.0   6.0841E-11           0.
      3730.0   5.9073E-11           0.
      3740.0   5.7370E-11           0.
      3750.0   5.5730E-11           0.
      3760.0   5.4148E-11           0.
      3770.0   5.2624E-11           0.
      3780.0   5.1154E-11           0.
      3790.0   4.9735E-11           0.
      3800.0   4.8367E-11           0.
      3810.0   4.7047E-11           0.
      3820.0   4.5773E-11           0.
      3830.0   4.4543E-11           0.
      3840.0   4.3354E-11           0.
      3850.0   4.2206E-11           0.
      3860.0   4.1097E-11           0.
      3870.0   4.0026E-11           0.
      3880.0   3.8990E-11           0.
      3890.0   3.7988E-11           0.
      3900.0   3.7020E-11           0.
      3910.0   3.6083E-11           0.
      3920.0   3.5177E-11           0.
      3930.0   3.4300E-11           0.
      3940.0   3.3451E-11           0.
      3950.0   3.2629E-11           0.
      3960.0   3.1834E-11           0.
      3970.0   3.1063E-11           0.
      3980.0   3.0317E-11           0.
      3990.0   2.9594E-11           0.
      4000.0   2.8893E-11           0.
      4010.0   2.8213E-11           0.
      4020.0   2.7555E-11           0.
      4030.0   2.6916E-11           0.
      4040.0   2.6297E-11           0.
      4050.0   2.5696E-11           0.
      4060.0   2.5113E-11           0.
      4070.0   2.4548E-11           0.
      4080.0   2.3999E-11           0.
      4090.0   2.3466E-11           0.
      4100.0   2.2948E-11           0.
      4110.0   2.2446E-11           0.
      4120.0   2.1958E-11           0.
      4130.0   2.1484E-11           0.
      4140.0   2.1023E-11           0.
      4150.0   2.0575E-11           0.
      4160.0   2.0140E-11           0.
      4170.0   1.9717E-11           0.
      4180.0   1.9305E-11           0.
      4190.0   1.8905E-11           0.
      4200.0   1.8516E-11           0.
      4210.0   1.8137E-11           0.
      4220.0   1.7769E-11           0.
      4230.0   1.7410E-11           0.
      4240.0   1.7061E-11           0.
      4250.0   1.6721E-11           0.
      4260.0   1.6390E-11           0.
      4270.0   1.6068E-11           0.
      4280.0   1.5754E-11           0.
      4290.0   1.5449E-11           0.
      4300.0   1.5151E-11           0.
      4310.0   1.4861E-11           0.
      4320.0   1.4578E-11           0.
      4330.0   1.4303E-11           0.
      4340.0   1.4034E-11           0.
      4350.0   1.3772E-11           0.
      4360.0   1.3516E-11           0.
      4370.0   1.3267E-11           0.
      4380.0   1.3024E-11           0.
      4390.0   1.2787E-11           0.
      4400.0   1.2556E-11           0.
      4410.0   1.2330E-11           0.
      4420.0   1.2110E-11           0.
      4430.0   1.1895E-11           0.
      4440.0   1.1685E-11           0.
      4450.0   1.1480E-11           0.
      4460.0   1.1280E-11           0.
      4470.0   1.1084E-11           0.
      4480.0   1.0893E-11           0.
      4490.0   1.0707E-11           0.
      4500.0   1.0525E-11           0.
      4510.0   1.0347E-11           0.
      4520.0   1.0173E-11           0.
      4530.0   1.0003E-11           0.
      4540.0   9.8363E-12           0.
      4550.0   9.6738E-12           0.
      4560.0   9.5150E-12           0.
      4570.0   9.3597E-12           0.
      4580.0   9.2077E-12           0.
      4590.0   9.0591E-12           0.
      4600.0   8.9138E-12           0.
      4610.0   8.7716E-12           0.
      4620.0   8.6325E-12           0.
      4630.0   8.4963E-12           0.
      4640.0   8.3631E-12           0.
      4650.0   8.2328E-12           0.
      4660.0   8.1051E-12           0.
      4670.0   7.9802E-12           0.
      4680.0   7.8578E-12           0.
      4690.0   7.7380E-12           0.
      4700.0   7.6207E-12           0.
      4710.0   7.5059E-12           0.
      4720.0   7.3933E-12           0.
      4730.0   7.2831E-12           0.
      4740.0   7.1751E-12           0.
      4750.0   7.0693E-12           0.
      4760.0   6.9657E-12           0.
      4770.0   6.8641E-12           0.
      4780.0   6.7644E-12           0.
      4790.0   6.6669E-12           0.
      4800.0   6.5712E-12           0.
      4810.0   6.4774E-12           0.
      4820.0   6.3854E-12           0.
      4830.0   6.2952E-12           0.
      4840.0   6.2068E-12           0.
      4850.0   6.1200E-12           0.
      4860.0   6.0350E-12           0.
      4870.0   5.9515E-12           0.
      4880.0   5.8696E-12           0.
      4890.0   5.7893E-12           0.
      4900.0   5.7105E-12           0.
      4910.0   5.6331E-12           0.
      4920.0   5.5572E-12           0.
      4930.0   5.4827E-12           0.
      4940.0   5.4096E-12           0.
      4950.0   5.3378E-12           0.
      4960.0   5.2673E-12           0.
      4970.0   5.1981E-12           0.
      4980.0   5.1302E-12           0.
      4990.0   5.0635E-12           0.
      5000.0   4.9980E-12           0.
      5010.0   4.9336E-12           0.
      5020.0   4.8704E-12           0.
      5030.0   4.8083E-12           0.
      5040.0   4.7473E-12           0.
      5050.0   4.6873E-12           0.
      5060.0   4.6285E-12           0.
      5070.0   4.5706E-12           0.
      5080.0   4.5137E-12           0.
      5090.0   4.4578E-12           0.
      5100.0   4.4029E-12           0.
      5110.0   4.3489E-12           0.
      5120.0   4.2958E-12           0.
      5130.0   4.2437E-12           0.
      5140.0   4.1924E-12           0.
      5150.0   4.1419E-12           0.
      5160.0   4.0924E-12           0.
      5170.0   4.0436E-12           0.
      5180.0   3.9956E-12           0.
      5190.0   3.9485E-12           0.
      5200.0   3.9021E-12           0.
      5210.0   3.8565E-12           0.
      5220.0   3.8116E-12           0.
      5230.0   3.7674E-12           0.
      5240.0   3.7240E-12           0.
      5250.0   3.6812E-12           0.
      5260.0   3.6392E-12           0.
      5270.0   3.5978E-12           0.
      5280.0   3.5570E-12           0.
      5290.0   3.5170E-12           0.
      5300.0   3.4775E-12           0.
      5310.0   3.4387E-12           0.
      5320.0   3.4005E-12           0.
      5330.0   3.3628E-12           0.
      5340.0   3.3258E-12           0.
      5350.0   3.2893E-12           0.
      5360.0   3.2534E-12           0.
      5370.0   3.2181E-12           0.
      5380.0   3.1832E-12           0.
      5390.0   3.1490E-12           0.
      5400.0   3.1152E-12           0.
      5410.0   3.0819E-12           0.
      5420.0   3.0492E-12           0.
      5430.0   3.0169E-12           0.
      5440.0   2.9851E-12           0.
      5450.0   2.9538E-12           0.
      5460.0   2.9230E-12           0.
      5470.0   2.8926E-12           0.
      5480.0   2.8626E-12           0.
      5490.0   2.8331E-12           0.
      5500.0   2.8040E-12           0.
      5510.0   2.7754E-12           0.
      5520.0   2.7471E-12           0.
      5530.0   2.7193E-12           0.
      5540.0   2.6918E-12           0.
      5550.0   2.6648E-12           0.
      5560.0   2.6381E-12           0.
      5570.0   2.6119E-12           0.
      5580.0   2.5860E-12           0.
      5590.0   2.5604E-12           0.
      5600.0   2.5352E-12           0.
      5610.0   2.5104E-12           0.
      5620.0   2.4859E-12           0.
      5630.0   2.4618E-12           0.
      5640.0   2.4379E-12           0.
      5650.0   2.4145E-12           0.
      5660.0   2.3913E-12           0.
      5670.0   2.3684E-12           0.
      5680.0   2.3459E-12           0.
      5690.0   2.3237E-12           0.
      5700.0   2.3018E-12           0.
      5710.0   2.2801E-12           0.
      5720.0   2.2588E-12           0.
      5730.0   2.2377E-12           0.
      5740.0   2.2170E-12           0.
      5750.0   2.1964E-12           0.
      5760.0   2.1762E-12           0.
      5770.0   2.1563E-12           0.
      5780.0   2.1366E-12           0.
      5790.0   2.1171E-12           0.
      5800.0   2.0979E-12           0.
      5810.0   2.0790E-12           0.
      5820.0   2.0603E-12           0.
      5830.0   2.0419E-12           0.
      5840.0   2.0236E-12           0.
      5850.0   2.0057E-12           0.
      5860.0   1.9879E-12           0.
      5870.0   1.9704E-12           0.
      5880.0   1.9531E-12           0.
      5890.0   1.9360E-12           0.
      5900.0   1.9191E-12           0.
      5910.0   1.9025E-12           0.
      5920.0   1.8860E-12           0.
      5930.0   1.8698E-12           0.
      5940.0   1.8537E-12           0.
      5950.0   1.8379E-12           0.
      5960.0   1.8223E-12           0.
      5970.0   1.8068E-12           0.
      5980.0   1.7915E-12           0.
      5990.0   1.7765E-12           0.
      6000.0   1.7616E-12           0.
      6010.0   1.7469E-12           0.
      6020.0   1.7323E-12           0.
      6030.0   1.7180E-12           0.
      6040.0   1.7038E-12           0.
      6050.0   1.6898E-12           0.
      6060.0   1.6759E-12           0.
      6070.0   1.6622E-12           0.
      6080.0   1.6487E-12           0.
      6090.0   1.6353E-12           0.
      6100.0   1.6221E-12           0.
      6110.0   1.6091E-12           0.
      6120.0   1.5962E-12           0.
      6130.0   1.5834E-12           0.
      6140.0   1.5708E-12           0.
      6150.0   1.5584E-12           0.
      6160.0   1.5461E-12           0.
      6170.0   1.5339E-12           0.
      6180.0   1.5219E-12           0.
      6190.0   1.5100E-12           0.
      6200.0   1.4982E-12           0.
      6210.0   1.4866E-12           0.
      6220.0   1.4751E-12           0.
      6230.0   1.4638E-12           0.
      6240.0   1.4525E-12           0.
      6250.0   1.4414E-12           0.
      6260.0   1.4304E-12           0.
      6270.0   1.4196E-12           0.
      6280.0   1.4088E-12           0.
      6290.0   1.3982E-12           0.
      6300.0   1.3877E-12           0.
      6310.0   1.3773E-12           0.
      6320.0   1.3670E-12           0.
      6330.0   1.3569E-12           0.
      6340.0   1.3468E-12           0.
      6350.0   1.3369E-12           0.
      6360.0   1.3270E-12           0.
      6370.0   1.3173E-12           0.
      6380.0   1.3077E-12           0.
      6390.0   1.2982E-12           0.
      6400.0   1.2887E-12           0.
      6410.0   1.2794E-12           0.
      6420.0   1.2702E-12           0.
      6430.0   1.2611E-12           0.
      6440.0   1.2520E-12           0.
      6450.0   1.2431E-12           0.
      6460.0   1.2343E-12           0.
      6470.0   1.2255E-12           0.
      6480.0   1.2169E-12           0.
      6490.0   1.2083E-12           0.
      6500.0   1.1998E-12           0.
      6510.0   1.1914E-12           0.
      6520.0   1.1831E-12           0.
      6530.0   1.1749E-12           0.
      6540.0   1.1668E-12           0.
      6550.0   1.1587E-12           0.
      6560.0   1.1508E-12           0.
      6570.0   1.1429E-12           0.
      6580.0   1.1351E-12           0.
      6590.0   1.1273E-12           0.
      6600.0   1.1197E-12           0.
      6610.0   1.1121E-12           0.
      6620.0   1.1046E-12           0.
      6630.0   1.0972E-12           0.
      6640.0   1.0898E-12           0.
      6650.0   1.0825E-12           0.
      6660.0   1.0753E-12           0.
      6670.0   1.0682E-12           0.
      6680.0   1.0611E-12           0.
      6690.0   1.0541E-12           0.
      6700.0   1.0472E-12           0.
      6710.0   1.0403E-12           0.
      6720.0   1.0335E-12           0.
      6730.0   1.0268E-12           0.
      6740.0   1.0201E-12           0.
      6750.0   1.0135E-12           0.
      6760.0   1.0070E-12           0.
      6770.0   1.0005E-12           0.
      6780.0   9.9412E-13           0.
      6790.0   9.8776E-13           0.
      6800.0   9.8147E-13           0.
      6810.0   9.7524E-13           0.
      6820.0   9.6906E-13           0.
      6830.0   9.6295E-13           0.
      6840.0   9.5688E-13           0.
      6850.0   9.5088E-13           0.
      6860.0   9.4493E-13           0.
      6870.0   9.3904E-13           0.
      6880.0   9.3320E-13           0.
      6890.0   9.2742E-13           0.
      6900.0   9.2169E-13           0.
      6910.0   9.1601E-13           0.
      6920.0   9.1038E-13           0.
      6930.0   9.0481E-13           0.
      6940.0   8.9929E-13           0.
      6950.0   8.9381E-13           0.
      6960.0   8.8839E-13           0.
      6970.0   8.8301E-13           0.
      6980.0   8.7769E-13           0.
      6990.0   8.7241E-13           0.
      7000.0   8.6717E-13           0.
      7010.0   8.6199E-13           0.
      7020.0   8.5685E-13           0.
      7030.0   8.5175E-13           0.
      7040.0   8.4671E-13           0.
      7050.0   8.4170E-13           0.
      7060.0   8.3674E-13           0.
      7070.0   8.3182E-13           0.
      7080.0   8.2695E-13           0.
      7090.0   8.2212E-13           0.
      7100.0   8.1733E-13           0.
      7110.0   8.1258E-13           0.
      7120.0   8.0788E-13           0.
      7130.0   8.0321E-13           0.
      7140.0   7.9859E-13           0.
      7150.0   7.9400E-13           0.
      7160.0   7.8945E-13           0.
      7170.0   7.8495E-13           0.
      7180.0   7.8048E-13           0.
      7190.0   7.7605E-13           0.
      7200.0   7.7165E-13           0.
      7210.0   7.6730E-13           0.
      7220.0   7.6298E-13           0.
      7230.0   7.5869E-13           0.
      7240.0   7.5445E-13           0.
      7250.0   7.5023E-13           0.
      7260.0   7.4606E-13           0.
      7270.0   7.4192E-13           0.
      7280.0   7.3781E-13           0.
      7290.0   7.3374E-13           0.
      7300.0   7.2970E-13           0.
      7310.0   7.2569E-13           0.
      7320.0   7.2172E-13           0.
      7330.0   7.1777E-13           0.
      7340.0   7.1387E-13           0.
      7350.0   7.0999E-13           0.
      7360.0   7.0614E-13           0.
      7370.0   7.0233E-13           0.
      7380.0   6.9855E-13           0.
      7390.0   6.9479E-13           0.
      7400.0   6.9107E-13           0.
      7410.0   6.8738E-13           0.
      7420.0   6.8372E-13           0.
      7430.0   6.8008E-13           0.
      7440.0   6.7648E-13           0.
      7450.0   6.7290E-13           0.
      7460.0   6.6935E-13           0.
      7470.0   6.6583E-13           0.
      7480.0   6.6234E-13           0.
      7490.0   6.5888E-13           0.
      7500.0   6.5544E-13           0.
      7510.0   6.5203E-13           0.
      7520.0   6.4865E-13           0.
      7530.0   6.4529E-13           0.
      7540.0   6.4196E-13           0.
      7550.0   6.3866E-13           0.
      7560.0   6.3537E-13           0.
      7570.0   6.3212E-13           0.
      7580.0   6.2889E-13           0.
      7590.0   6.2569E-13           0.
      7600.0   6.2251E-13           0.
      7610.0   6.1935E-13           0.
      7620.0   6.1622E-13           0.
      7630.0   6.1311E-13           0.
      7640.0   6.1003E-13           0.
      7650.0   6.0697E-13           0.
      7660.0   6.0393E-13           0.
      7670.0   6.0091E-13           0.
      7680.0   5.9792E-13           0.
      7690.0   5.9495E-13           0.
      7700.0   5.9201E-13           0.
      7710.0   5.8908E-13           0.
      7720.0   5.8618E-13           0.
      7730.0   5.8330E-13           0.
      7740.0   5.8044E-13           0.
      7750.0   5.7760E-13           0.
      7760.0   5.7478E-13           0.
      7770.0   5.7198E-13           0.
      7780.0   5.6920E-13           0.
      7790.0   5.6645E-13           0.
      7800.0   5.6371E-13           0.
      7810.0   5.6099E-13           0.
      7820.0   5.5830E-13           0.
      7830.0   5.5562E-13           0.
      7840.0   5.5296E-13           0.
      7850.0   5.5032E-13           0.
      7860.0   5.4770E-13           0.
      7870.0   5.4510E-13           0.
      7880.0   5.4252E-13           0.
      7890.0   5.3996E-13           0.
      7900.0   5.3741E-13           0.
      7910.0   5.3488E-13           0.
      7920.0   5.3237E-13           0.
      7930.0   5.2988E-13           0.
      7940.0   5.2741E-13           0.
      7950.0   5.2495E-13           0.
      7960.0   5.2251E-13           0.
      7970.0   5.2009E-13           0.
      7980.0   5.1768E-13           0.
      7990.0   5.1529E-13           0.
      8000.0   5.1292E-13           0.
      8010.0   5.1057E-13           0.
      8020.0   5.0823E-13           0.
      8030.0   5.0591E-13           0.
      8040.0   5.0360E-13           0.
      8050.0   5.0131E-13           0.
      8060.0   4.9904E-13           0.
      8070.0   4.9678E-13           0.
      8080.0   4.9453E-13           0.
      8090.0   4.9230E-13           0.
      8100.0   4.9009E-13           0.
      8110.0   4.8789E-13           0.
      8120.0   4.8571E-13           0.
      8130.0   4.8354E-13           0.
      8140.0   4.8139E-13           0.
      8150.0   4.7925E-13           0.
      8160.0   4.7713E-13           0.
      8170.0   4.7501E-13           0.
      8180.0   4.7292E-13           0.
      8190.0   4.7084E-13           0.
      8200.0   4.6877E-13           0.
      8210.0   4.6671E-13           0.
      8220.0   4.6467E-13           0.
      8230.0   4.6264E-13           0.
      8240.0   4.6063E-13           0.
      8250.0   4.5863E-13           0.
      8260.0   4.5664E-13           0.
      8270.0   4.5467E-13           0.
      8280.0   4.5271E-13           0.
      8290.0   4.5076E-13           0.
      8300.0   4.4882E-13           0.
      8310.0   4.4690E-13           0.
      8320.0   4.4499E-13           0.
      8330.0   4.4309E-13           0.
      8340.0   4.4120E-13           0.
      8350.0   4.3933E-13           0.
      8360.0   4.3747E-13           0.
      8370.0   4.3562E-13           0.
      8380.0   4.3378E-13           0.
      8390.0   4.3196E-13           0.
      8400.0   4.3014E-13           0.
      8410.0   4.2834E-13           0.
      8420.0   4.2655E-13           0.
      8430.0   4.2477E-13           0.
      8440.0   4.2300E-13           0.
      8450.0   4.2124E-13           0.
      8460.0   4.1949E-13           0.
      8470.0   4.1776E-13           0.
      8480.0   4.1603E-13           0.
      8490.0   4.1432E-13           0.
      8500.0   4.1262E-13           0.
      8510.0   4.1092E-13           0.
      8520.0   4.0924E-13           0.
      8530.0   4.0757E-13           0.
      8540.0   4.0591E-13           0.
      8550.0   4.0426E-13           0.
      8560.0   4.0262E-13           0.
      8570.0   4.0099E-13           0.
      8580.0   3.9937E-13           0.
      8590.0   3.9776E-13           0.
      8600.0   3.9616E-13           0.
      8610.0   3.9457E-13           0.
      8620.0   3.9298E-13           0.
      8630.0   3.9141E-13           0.
      8640.0   3.8985E-13           0.
      8650.0   3.8830E-13           0.
      8660.0   3.8675E-13           0.
      8670.0   3.8522E-13           0.
      8680.0   3.8370E-13           0.
      8690.0   3.8218E-13           0.
      8700.0   3.8068E-13           0.
      8710.0   3.7918E-13           0.
      8720.0   3.7769E-13           0.
      8730.0   3.7621E-13           0.
      8740.0   3.7474E-13           0.
      8750.0   3.7328E-13           0.
      8760.0   3.7183E-13           0.
      8770.0   3.7038E-13           0.
      8780.0   3.6895E-13           0.
      8790.0   3.6752E-13           0.
      8800.0   3.6610E-13           0.
      8810.0   3.6469E-13           0.
      8820.0   3.6329E-13           0.
      8830.0   3.6189E-13           0.
