#  Table wf3f336wsys.tab  Mon 12:22:13 02-Jun-97

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            2890.    4.698867E-10
         2891.934     3.742355E-9
         2893.866     2.164941E-8
         2895.804     5.202503E-8
         2897.742     1.054521E-7
         2899.679     2.573481E-7
         2901.618     5.108113E-7
         2903.559     7.840376E-7
         2905.501     1.056952E-6
         2907.445     1.329553E-6
         2909.389     1.601771E-6
         2911.335     3.155810E-6
         2913.283     5.293831E-6
         2915.233     7.431165E-6
         2917.181     9.561917E-6
         2919.133     1.169169E-5
         2921.083     1.635696E-5
         2923.039     2.306033E-5
         2924.996     2.975452E-5
         2926.951     3.642865E-5
         2928.908     4.309938E-5
         2930.867     5.400041E-5
         2932.826     7.020882E-5
          2934.79     8.641835E-5
         2936.753     1.025946E-4
         2938.717     1.187475E-4
         2940.683     1.213437E-4
          2942.65     1.119525E-4
         2944.616     1.321798E-4
         2946.587     1.578407E-4
         2948.558     1.852423E-4
         2950.529     2.157709E-4
         2952.504     2.475004E-4
         2954.479     2.832071E-4
         2956.455     3.215297E-4
         2958.433     3.627213E-4
         2960.412     4.073155E-4
          2962.39     4.558228E-4
         2964.373     5.096163E-4
         2966.358     5.645623E-4
          2968.34     6.255829E-4
         2970.326     6.885470E-4
         2972.313     7.552231E-4
         2974.299     8.268011E-4
          2976.29     9.012731E-4
         2978.279     9.802229E-4
         2980.273      0.00106439
         2982.266     0.001152703
          2984.26     0.001244346
         2986.257     0.001339706
         2988.255     0.001439124
         2990.252      0.00154139
         2992.254     0.001648168
         2994.255     0.001753365
         2996.258      0.00186189
         2998.262     0.001972471
         3000.268     0.002087815
         3002.273     0.002204225
         3004.281     0.002320053
         3006.292      0.00243876
         3008.303     0.002561332
         3010.315     0.002685985
         3012.329     0.002813668
         3014.342     0.002938801
         3016.358     0.003066707
         3018.377     0.003202758
         3020.396     0.003344485
         3022.417     0.003487537
         3024.438     0.003637326
         3026.459     0.003797812
         3028.485     0.003962887
         3030.511      0.00413069
         3032.537     0.004306494
         3034.567     0.004500603
         3036.595     0.004711142
         3038.627     0.004934292
          3040.66     0.005168526
         3042.692     0.005413976
         3044.727     0.005672392
         3046.764     0.005955435
         3048.803     0.006264803
         3050.843     0.006598151
         3052.883     0.006954399
         3054.924      0.00733156
         3056.967     0.007733057
         3059.013     0.008167626
         3061.058     0.008634098
         3063.107     0.009132913
         3065.156     0.009665303
         3067.205      0.01022843
         3069.258      0.01082532
         3071.311      0.01145619
         3073.364      0.01211271
         3075.419      0.01279123
         3077.478      0.01348982
         3079.536      0.01420435
         3081.596      0.01493599
         3083.657      0.01567977
         3085.718      0.01641389
         3087.782      0.01713078
         3089.849      0.01783466
         3091.916      0.01850847
         3093.984      0.01915208
         3096.054      0.01975758
         3098.123      0.02031898
         3100.197      0.02083403
         3102.269      0.02134831
         3104.344      0.02181036
         3106.422       0.0222193
         3108.498      0.02258158
         3110.579      0.02289901
          3112.66      0.02317612
          3114.74      0.02342169
         3116.823      0.02364288
          3118.91      0.02384104
         3120.996      0.02400629
         3123.083      0.02414107
         3125.173      0.02426168
         3127.261      0.02438683
         3129.353      0.02452238
         3131.448      0.02465962
         3133.541      0.02479078
         3135.638      0.02490674
         3137.736      0.02502585
         3139.833      0.02517052
         3141.935      0.02532012
         3144.036      0.02546366
         3146.137      0.02561229
         3148.244      0.02579658
         3150.349      0.02598028
         3152.455      0.02614515
         3154.565      0.02631979
         3156.674      0.02650819
         3158.785      0.02671011
         3160.898      0.02692457
         3163.012        0.027139
         3165.129      0.02735722
         3167.247      0.02756964
         3169.363      0.02776352
         3171.483      0.02795641
         3173.605      0.02816367
         3175.727      0.02836595
         3177.852      0.02853122
         3179.979      0.02870166
         3182.104      0.02887603
         3184.233       0.0290417
         3186.363       0.0292016
         3188.494      0.02933554
         3190.626      0.02945936
         3192.762      0.02959285
         3194.896      0.02972201
         3197.033      0.02983526
         3199.173       0.0299425
         3201.312      0.03005619
         3203.453      0.03016819
         3205.594      0.03026332
          3207.74      0.03034911
         3209.887      0.03043231
         3212.034      0.03051292
         3214.181      0.03058548
         3216.331      0.03066489
          3218.48      0.03074032
         3220.635      0.03081149
         3222.791       0.0308811
         3224.945      0.03096036
         3227.102      0.03103806
          3229.26      0.03109231
          3231.42      0.03115502
         3233.582       0.0312406
         3235.745      0.03132882
         3237.909      0.03140249
         3240.075      0.03146394
         3242.244      0.03152872
         3244.411       0.0316143
         3246.581      0.03170044
         3248.752      0.03176975
         3250.925      0.03183715
         3253.102      0.03191883
         3255.278      0.03200227
         3257.453      0.03205007
         3259.632      0.03208249
         3261.811      0.03212044
         3263.994      0.03216168
         3266.177      0.03220372
         3268.364      0.03222977
         3270.548       0.0322777
         3272.736       0.0323322
         3274.925      0.03237237
         3277.115      0.03239297
         3279.307      0.03241056
         3281.499       0.0324384
         3283.696      0.03247106
         3285.894      0.03249444
          3288.09      0.03249725
         3290.289      0.03251961
          3292.49       0.0325451
         3294.691      0.03256501
         3296.896      0.03257271
         3299.103      0.03256043
         3301.308      0.03254049
         3303.516      0.03253477
         3305.724      0.03254898
         3307.937      0.03255603
          3310.15      0.03256076
         3312.364      0.03255752
         3314.579       0.0325599
         3316.796      0.03255962
         3319.017      0.03254936
         3321.235      0.03254201
         3323.457      0.03253564
         3325.678      0.03252789
         3327.904      0.03251984
         3330.132      0.03252188
         3332.359      0.03253472
         3334.586      0.03254582
         3336.817      0.03254931
         3339.047      0.03255459
         3341.282       0.0325577
         3343.517      0.03256511
         3345.753      0.03259349
         3347.991      0.03261014
         3350.231      0.03261556
          3352.47      0.03263962
         3354.714      0.03266998
         3356.958      0.03269454
         3359.203      0.03271771
          3361.45      0.03273945
         3363.699      0.03276916
         3365.948      0.03281444
           3368.2       0.0328633
         3370.453      0.03290359
         3372.706      0.03293887
         3374.963      0.03298372
         3377.223      0.03303996
          3379.48      0.03308957
          3381.74      0.03315309
         3384.002      0.03322607
         3386.264      0.03327344
         3388.529      0.03333797
         3390.799      0.03341752
         3393.065      0.03350934
         3395.335      0.03360298
         3397.604      0.03366925
         3399.876      0.03370481
         3402.153      0.03377827
         3404.426      0.03387165
         3406.705        0.033978
         3408.984      0.03407345
         3411.262      0.03417424
         3413.546      0.03428335
         3415.827      0.03438888
         3418.112      0.03448327
         3420.398      0.03458386
         3422.688      0.03468188
         3424.978      0.03477279
         3427.268      0.03486526
         3429.561      0.03496056
         3431.853      0.03505713
         3434.148      0.03514591
         3436.445        0.035224
         3438.746       0.0352951
         3441.046       0.0353623
         3443.346      0.03542727
         3445.649      0.03548119
         3447.956      0.03552664
          3450.26      0.03555131
         3452.568      0.03556953
         3454.879      0.03557537
         3457.188      0.03556824
         3459.502      0.03554856
         3461.816      0.03550565
          3464.13      0.03545639
         3466.447      0.03540203
         3468.768      0.03532925
          3471.09      0.03523894
         3473.409      0.03512827
         3475.733      0.03498699
         3478.056      0.03483428
         3480.382      0.03466893
         3482.712      0.03448379
          3485.04      0.03427333
         3487.373      0.03404988
         3489.703      0.03380788
         3492.038      0.03354475
         3494.375      0.03326278
         3496.711      0.03296075
          3499.05      0.03263906
         3501.392      0.03230026
         3503.734      0.03195173
         3506.077      0.03158168
         3508.423      0.03119464
         3510.767      0.03080193
         3513.116      0.03039614
         3515.466      0.02998021
         3517.817      0.02955483
         3520.172      0.02912786
         3522.526      0.02869372
         3524.881      0.02823773
         3527.238      0.02778112
           3529.6      0.02732573
         3531.958      0.02686704
         3534.321      0.02640662
         3536.687      0.02593842
         3539.051      0.02546807
          3541.42      0.02502435
         3543.789      0.02457821
         3546.157      0.02410497
         3548.529      0.02363052
         3550.905      0.02317397
          3553.28      0.02271955
         3555.656      0.02225551
         3558.035       0.0217897
         3560.413      0.02132812
         3562.794       0.0208663
         3565.177      0.02041048
         3567.562      0.01995146
          3569.95      0.01949356
         3572.336      0.01905242
         3574.725      0.01861122
         3577.118      0.01816178
         3579.509      0.01772112
         3581.903      0.01728376
         3584.301      0.01684545
         3586.697      0.01640746
         3589.096      0.01597306
         3591.496      0.01554525
         3593.899      0.01511796
         3596.302      0.01469241
         3598.708      0.01427817
         3601.115      0.01386533
         3603.524      0.01345195
         3605.936      0.01303627
         3608.346      0.01262432
          3610.76      0.01221773
         3613.175      0.01181438
         3615.592      0.01141164
         3618.012      0.01102065
          3620.43      0.01063618
         3622.852      0.01025615
         3625.275     0.009884015
           3627.7     0.009517182
         3630.126     0.009156553
         3632.554     0.008810039
         3634.986     0.008472164
         3637.416     0.008142554
         3639.849      0.00782103
         3642.283     0.007508414
         3644.719     0.007207651
         3647.157       0.0069159
         3649.597      0.00662942
         3652.038     0.006353985
         3654.483     0.006090885
         3656.925     0.005832124
         3659.371     0.005581222
         3661.819     0.005340341
         3664.268     0.005107199
         3666.719      0.00488277
         3669.174     0.004666685
         3671.626     0.004461631
         3674.082     0.004261151
         3676.539      0.00406905
         3678.999     0.003886314
         3681.459     0.003710489
         3683.922     0.003552368
         3686.386     0.003394689
         3688.852     0.003240206
         3691.321     0.003093948
         3693.788     0.002953765
         3696.259     0.002822976
         3698.731     0.002698154
         3701.205     0.002578368
         3703.683     0.002460475
         3706.158     0.002351568
         3708.637     0.002244712
         3711.118     0.002142589
           3713.6      0.00204624
         3716.084     0.001954241
          3718.57     0.001866945
         3721.057      0.00178295
         3723.546     0.001703889
         3726.036      0.00162568
         3728.529     0.001550677
         3731.023     0.001479551
         3733.518     0.001409931
         3736.016     0.001345434
         3738.514     0.001284103
         3741.017     0.001225459
         3743.517     0.001168268
         3746.021     0.001110826
         3748.527     0.001053188
         3751.034     0.001001584
         3753.543     9.586983E-4
         3756.054     9.156579E-4
         3758.566     8.724663E-4
          3761.08     8.296886E-4
         3763.596     7.875044E-4
         3766.114     7.451765E-4
         3768.633     7.027009E-4
         3771.155     6.651566E-4
         3773.676     6.335932E-4
           3776.2     6.018945E-4
         3778.726     5.700846E-4
         3781.253     5.387649E-4
         3783.782     5.079429E-4
         3786.313     4.770165E-4
         3788.846     4.459796E-4
         3791.382     4.194221E-4
         3793.916     3.966677E-4
         3796.454     3.738167E-4
         3798.993     3.508865E-4
         3801.534     3.286576E-4
         3804.077     3.068683E-4
         3806.622     2.850032E-4
         3809.168     2.630624E-4
         3811.716     2.454357E-4
         3814.265     2.298824E-4
         3816.816     2.142752E-4
         3819.367     1.986261E-4
         3821.924     1.840076E-4
          3824.48     1.697151E-4
         3827.039     1.553721E-4
         3829.599     1.409813E-4
          3832.16     1.304478E-4
         3834.723     1.206056E-4
         3837.288     1.107296E-4
         3839.853     1.008282E-4
         3842.423     9.219775E-5
         3844.993     8.362553E-5
         3847.565     7.502317E-5
         3850.139     6.656362E-5
         3852.714     6.108507E-5
         3855.289     5.559202E-5
          3857.87     5.007140E-5
          3860.45     4.472430E-5
         3863.032     4.025093E-5
         3865.616     3.576201E-5
         3868.202     3.125791E-5
         3870.787     2.730367E-5
         3873.379     2.461559E-5
         3875.969     2.192073E-5
         3878.562     1.921675E-5
         3881.156     1.682173E-5
         3883.752     1.481502E-5
          3886.35     1.280139E-5
         3888.949     1.078119E-5
         3891.551     9.312693E-6
         3894.154     8.218472E-6
         3896.759     7.120585E-6
         3899.365     6.019020E-6
         3901.973     5.194482E-6
         3904.583     4.457714E-6
         3907.193     3.719048E-6
         3909.806     2.977304E-6
         3912.423     2.594902E-6
          3915.04     2.240543E-6
         3917.659     1.884979E-6
          3920.28     1.542868E-6
           3922.9     1.322259E-6
         3925.526     1.100574E-6
         3928.151     8.783264E-7
         3930.777     6.963033E-7
         3933.408     6.107707E-7
         3936.039     5.250208E-7
         3938.672     4.389894E-7
         3941.306     3.699116E-7
         3943.943     3.181508E-7
         3946.578     2.662701E-7
          3949.22     2.141346E-7
         3951.862     1.865563E-7
         3954.505     1.692486E-7
          3957.15     1.518830E-7
         3959.795     1.344772E-7
         3962.444     1.169969E-7
         3965.096     9.944586E-8
         3967.746     8.186792E-8
         3970.402     6.689440E-8
         3973.058     6.697904E-8
         3975.716     6.706379E-8
         3978.375     6.714865E-8
         3981.036     6.723333E-8
         3983.697     6.731758E-8
         3986.363     6.740206E-8
          3989.03     6.748662E-8
         3991.698     6.757045E-8
         3994.368     6.765394E-8
          3997.04     6.773752E-8
         3999.711     6.782116E-8
         4002.386     6.782275E-8
         4005.066     6.781436E-8
         4007.745     6.780592E-8
         4010.425     6.779737E-8
         4013.108     6.778813E-8
          4015.79     6.777886E-8
         4018.478     6.776956E-8
         4021.164     6.775987E-8
         4023.856     6.774971E-8
         4026.547     6.773951E-8
          4029.24     6.772928E-8
         4031.936     6.771851E-8
          4034.63     6.770748E-8
         4037.329     6.769640E-8
         4040.029     6.768531E-8
         4042.734     6.767341E-8
         4045.438     6.766150E-8
         4048.142     6.764957E-8
         4050.852     6.763733E-8
         4053.561     6.762455E-8
          4056.27     6.761175E-8
         4058.986     6.759888E-8
         4061.701     6.758556E-8
         4064.417     6.757193E-8
         4067.136     6.755827E-8
         4069.856     6.754458E-8
         4072.579     6.753011E-8
         4075.298     6.751560E-8
         4078.029     6.750101E-8
         4080.756     6.748621E-8
         4083.486     6.747087E-8
         4086.217     6.745550E-8
         4088.948     6.744010E-8
         4091.685     6.742454E-8
          4094.42     6.740893E-8
         4097.159     6.739327E-8
         4099.901     6.737757E-8
         4102.642     6.736058E-8
         4105.388     6.734349E-8
         4108.134     6.732640E-8
         4110.879     6.730922E-8
         4113.631     6.729190E-8
         4116.383     6.727456E-8
         4119.136     6.725718E-8
         4121.892     6.723890E-8
         4124.648     6.722021E-8
         4127.408     6.720146E-8
         4130.164     6.718268E-8
         4132.931     6.716368E-8
         4135.693     6.714468E-8
         4138.461     6.712562E-8
          4141.23     6.710648E-8
         4143.998     6.708725E-8
         4146.771     6.706797E-8
         4149.543     6.704869E-8
         4152.318     6.702827E-8
         4155.098     6.700757E-8
         4157.875     6.698689E-8
         4160.659     6.696611E-8
         4163.441     6.694524E-8
         4166.224     6.692436E-8
         4169.011     6.690345E-8
         4171.797     6.688201E-8
          4174.59     6.686026E-8
         4177.384     6.683848E-8
         4180.179     6.681667E-8
         4182.975     6.679474E-8
         4185.768     6.677281E-8
         4188.572     6.675078E-8
         4191.372     6.672845E-8
         4194.178     6.670567E-8
         4196.983     6.668289E-8
         4199.788     6.666009E-8
         4202.599     6.669902E-8
         4205.406     6.674293E-8
         4208.221     6.678697E-8
         4211.036     6.683099E-8
         4213.853     6.687500E-8
         4216.673     6.691905E-8
         4219.492     6.696312E-8
         4222.314     6.700665E-8
         4225.138     6.705009E-8
         4227.962     6.709355E-8
         4230.792     6.713708E-8
         4233.622     6.718057E-8
         4236.456     6.722411E-8
          4239.29     6.726768E-8
         4242.121     6.731071E-8
         4244.963     6.735373E-8
         4247.797     6.739668E-8
         4250.639     6.743969E-8
         4253.487     6.748277E-8
          4256.33     6.752577E-8
         4259.179     6.756888E-8
         4262.023     6.761142E-8
         4264.876     6.765387E-8
         4267.729     6.769636E-8
         4270.581     6.773881E-8
          4273.44     6.778134E-8
         4276.298     6.782388E-8
         4279.159     6.786644E-8
         4282.021     5.418426E-8
         4284.885     3.475496E-8
         4287.751     1.529167E-8
         4290.619     4.212292E-9
         4293.491     2.376692E-8
         4296.363     4.334567E-8
         4299.234     6.294187E-8
         4302.113     6.820201E-8
         4304.985     6.824338E-8
         4307.865     6.828486E-8
         4310.747     6.832636E-8
         4313.635     6.836788E-8
          4316.52     6.840940E-8
         4319.402     6.845085E-8
         4322.296     6.849243E-8
         4325.185     6.853393E-8
         4328.076     6.857547E-8
         4330.973     6.193964E-8
          4333.87     4.208693E-8
         4336.771     2.218333E-8
         4339.669     2.272374E-9
         4342.572     1.769278E-8
         4345.479     3.771200E-8
         4348.381     5.771470E-8
         4351.292     6.890571E-8
         4354.205     6.894619E-8
         4357.115     6.898664E-8
         4360.032     6.880811E-8
         4362.943     4.873894E-8
         4365.864     2.858521E-8
