#  Table crwfpc2comp$wfpc2_f410m_003.tab  Thu 11:00:10 20-Jul-95

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      1850.0    3.1893E-5           0.
      1860.0    1.7479E-5           0.
      1870.0    1.1280E-5           0.
      1880.0    1.2938E-5           0.
      1890.0    1.4510E-5           0.
      1900.0    1.2360E-5           0.
      1910.0    5.9177E-6           0.
      1920.0    2.8595E-6           0.
      1930.0    4.2449E-6           0.
      1940.0    8.5863E-6           0.
      1950.0    1.0239E-5           0.
      1960.0    7.1469E-6           0.
      1970.0    4.2536E-6           0.
      1980.0    5.0654E-6           0.
      1990.0    6.2580E-6           0.
      2000.0    5.9495E-6           0.
      2010.0    4.9593E-6           0.
      2020.0    4.4638E-6           0.
      2030.0    5.1782E-6           0.
      2040.0    5.3334E-6           0.
      2050.0    4.6595E-6           0.
      2060.0    3.9374E-6           0.
      2070.0    3.0784E-6           0.
      2080.0    2.4826E-6           0.
      2090.0    2.2367E-6           0.
      2100.0    1.9301E-6           0.
      2110.0    1.7923E-6           0.
      2120.0    2.1017E-6           0.
      2130.0    2.4035E-6           0.
      2140.0    2.3283E-6           0.
      2150.0    2.1789E-6           0.
      2160.0    1.5532E-6           0.
      2170.0    1.2688E-6           0.
      2180.0    1.6486E-6           0.
      2190.0    1.8125E-6           0.
      2200.0    1.4953E-6           0.
      2210.0    1.5175E-6           0.
      2220.0    1.9340E-6           0.
      2230.0    1.9494E-6           0.
      2240.0    1.7229E-6           0.
      2250.0    1.7759E-6           0.
      2260.0    1.7142E-6           0.
      2270.0    1.5339E-6           0.
      2280.0    1.3970E-6           0.
      2290.0    1.2032E-6           0.
      2300.0    9.8917E-7           0.
      2310.0    9.3653E-7           0.
      2320.0    1.1646E-6           0.
      2330.0    1.4529E-6           0.
      2340.0    1.4799E-6           0.
      2350.0    1.3218E-6           0.
      2360.0    1.3266E-6           0.
      2370.0    1.7518E-6           0.
      2380.0    2.2174E-6           0.
      2390.0    2.1365E-6           0.
      2400.0    1.9456E-6           0.
      2410.0    1.8491E-6           0.
      2420.0    1.7441E-6           0.
      2430.0    1.6640E-6           0.
      2440.0    1.5156E-6           0.
      2450.0    1.3488E-6           0.
      2460.0    1.3758E-6           0.
      2470.0    1.4597E-6           0.
      2480.0    1.4221E-6           0.
      2490.0    1.2659E-6           0.
      2500.0    1.2321E-6           0.
      2510.0    1.2312E-6           0.
      2520.0    1.1830E-6           0.
      2530.0    1.2697E-6           0.
      2540.0    1.4442E-6           0.
      2550.0    1.5551E-6           0.
      2560.0    1.4934E-6           0.
      2570.0    1.3334E-6           0.
      2580.0    1.3420E-6           0.
      2590.0    1.4529E-6           0.
      2600.0    1.4741E-6           0.
      2610.0    1.4153E-6           0.
      2620.0    1.3690E-6           0.
      2630.0    1.3671E-6           0.
      2640.0    1.3227E-6           0.
      2650.0    1.3497E-6           0.
      2660.0    1.3960E-6           0.
      2670.0    1.3931E-6           0.
      2680.0    1.4249E-6           0.
      2690.0    1.3632E-6           0.
      2700.0    1.3324E-6           0.
      2710.0    1.3334E-6           0.
      2720.0    1.3459E-6           0.
      2730.0    1.3970E-6           0.
      2740.0    1.3787E-6           0.
      2750.0    1.3632E-6           0.
      2760.0    1.2495E-6           0.
      2770.0    1.2601E-6           0.
      2780.0    1.4384E-6           0.
      2790.0    1.5406E-6           0.
      2800.0    1.4548E-6           0.
      2810.0    1.2996E-6           0.
      2820.0    1.2234E-6           0.
      2830.0    1.2649E-6           0.
      2840.0    1.3237E-6           0.
      2850.0    1.2880E-6           0.
      2860.0    1.2437E-6           0.
      2870.0    1.3777E-6           0.
      2880.0    1.3845E-6           0.
      2890.0    1.3266E-6           0.
      2900.0    1.2447E-6           0.
      2910.0    1.1222E-6           0.
      2920.0    1.2331E-6           0.
      2930.0    1.3430E-6           0.
      2940.0    1.4095E-6           0.
      2950.0    1.5618E-6           0.
      2960.0    1.5590E-6           0.
      2970.0    1.4028E-6           0.
      2980.0    1.2196E-6           0.
      2990.0    1.2090E-6           0.
      3000.0    1.1743E-6           0.
      3010.0    1.1974E-6           0.
      3020.0    1.3334E-6           0.
      3030.0    1.3372E-6           0.
      3040.0    1.3362E-6           0.
      3050.0    1.4828E-6           0.
      3060.0    1.5011E-6           0.
      3070.0    1.4365E-6           0.
      3080.0    1.3681E-6           0.
      3090.0    1.2312E-6           0.
      3100.0    1.1155E-6           0.
      3110.0    9.9495E-7           0.
      3120.0    1.0210E-6           0.
      3130.0    1.0499E-6           0.
      3140.0    9.6700E-7           0.
      3150.0    1.0740E-6           0.
      3160.0    1.2745E-6           0.
      3170.0    1.4529E-6           0.
      3180.0    1.5937E-6           0.
      3190.0    1.4895E-6           0.
      3200.0    1.3912E-6           0.
      3210.0    1.4857E-6           0.
      3220.0    1.4982E-6           0.
      3230.0    1.5831E-6           0.
      3240.0    1.7884E-6           0.
      3250.0    1.9118E-6           0.
      3260.0    2.0352E-6           0.
      3270.0    2.2194E-6           0.
      3280.0    2.3553E-6           0.
      3290.0    2.5578E-6           0.
      3300.0    2.7381E-6           0.
      3310.0    2.9126E-6           0.
      3320.0    3.1468E-6           0.
      3330.0    3.1285E-6           0.
      3340.0    3.1353E-6           0.
      3350.0    3.3049E-6           0.
      3360.0    3.2943E-6           0.
      3370.0    3.4920E-6           0.
      3380.0    3.8892E-6           0.
      3390.0    4.0010E-6           0.
      3400.0    3.9220E-6           0.
      3410.0    3.9644E-6           0.
      3420.0    3.7214E-6           0.
      3430.0    3.5990E-6           0.
      3440.0    3.5209E-6           0.
      3450.0    3.5440E-6           0.
      3460.0    3.6202E-6           0.
      3470.0    3.7118E-6           0.
      3480.0    3.7320E-6           0.
      3490.0    3.7320E-6           0.
      3500.0    3.8024E-6           0.
      3510.0    3.7831E-6           0.
      3520.0    3.7253E-6           0.
      3530.0    3.7590E-6           0.
      3540.0    3.9499E-6           0.
      3550.0    4.2498E-6           0.
      3560.0    4.3327E-6           0.
      3570.0    4.4040E-6           0.
      3580.0    4.6846E-6           0.
      3590.0    5.0085E-6           0.
      3600.0    5.3816E-6           0.
      3610.0    5.6304E-6           0.
      3620.0    5.8531E-6           0.
      3630.0    6.3370E-6           0.
      3640.0    7.0177E-6           0.
      3650.0    7.7321E-6           0.
      3660.0    8.7136E-6           0.
      3670.0    1.0065E-5           0.
      3680.0    1.1521E-5           0.
      3690.0    1.3353E-5           0.
      3700.0    1.5734E-5           0.
      3710.0    1.8781E-5           0.
      3720.0    2.2772E-5           0.
      3730.0    2.7949E-5           0.
      3740.0    3.4949E-5           0.
      3750.0    4.4214E-5           0.
      3760.0    5.6313E-5           0.
      3770.0    7.2664E-5           0.
      3780.0    9.5234E-5           0.
      3790.0    1.2726E-4           0.
      3800.0    1.7257E-4           0.
      3810.0    2.3707E-4           0.
      3820.0    3.3127E-4           0.
      3830.0    4.7067E-4           0.
      3840.0    6.7960E-4           0.
      3850.0    9.9785E-4           0.
      3860.0    0.0014982           0.
      3870.0    0.0022975           0.
      3880.0    0.0036048           0.
      3890.0    0.0057962           0.
      3900.0    0.0095832           0.
      3910.0     0.016245           0.
      3920.0     0.025096           0.
      3948.0     0.026243           0.
      3950.0     0.029395           0.
      3952.0     0.033069           0.
      3954.0     0.037157           0.
