#  Table pcf336wsys.tab  Mon 12:21:08 02-Jun-97

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            2890.    4.628875E-10
         2891.934     3.686438E-9
         2893.866     2.132493E-8
         2895.804     5.124289E-8
         2897.742     1.038618E-7
         2899.679     2.534554E-7
         2901.618     5.030681E-7
         2903.559     7.721293E-7
         2905.501     1.040867E-6
         2907.445     1.309280E-6
         2909.389     1.577299E-6
         2911.335     3.107500E-6
         2913.283     5.212630E-6
         2915.233     7.316954E-6
         2917.181     9.414667E-6
         2919.133     1.151128E-5
         2921.083     1.610407E-5
         2923.039     2.270309E-5
         2924.996     2.929265E-5
         2926.951     3.586206E-5
         2928.908     4.242769E-5
         2930.867     5.315715E-5
         2932.826     6.911027E-5
          2934.79     8.506343E-5
         2936.753     1.009828E-4
         2938.717     1.168782E-4
         2940.683     1.194297E-4
          2942.65     1.101831E-4
         2944.616     1.300865E-4
         2946.587     1.553359E-4
         2948.558     1.822966E-4
         2950.529     2.123329E-4
         2952.504     2.435487E-4
         2954.479     2.786762E-4
         2956.455     3.163752E-4
         2958.433     3.568945E-4
         2960.412     4.007589E-4
          2962.39     4.484704E-4
         2964.373     5.013793E-4
         2966.358     5.554185E-4
          2968.34     6.154299E-4
         2970.326     6.773491E-4
         2972.313     7.429156E-4
         2974.299     8.132991E-4
          2976.29     8.865246E-4
         2978.279     9.641494E-4
         2980.273       0.0010469
         2982.266     0.001133723
          2984.26     0.001223814
         2986.257     0.001317555
         2988.255     0.001415279
         2990.252     0.001515797
         2992.254     0.001620745
         2994.255      0.00172413
         2996.258      0.00183078
         2998.262     0.001939444
         3000.268     0.002052784
         3002.273     0.002167162
         3004.281      0.00228096
         3006.292     0.002397579
         3008.303      0.00251799
         3010.315     0.002640437
         3012.329     0.002765854
         3014.342     0.002888754
         3016.358     0.003014369
         3018.377     0.003147982
         3020.396     0.003287163
         3022.417     0.003427634
         3024.438     0.003574716
         3026.459       0.0037323
         3028.485      0.00389438
         3030.511     0.004059128
         3032.537     0.004231725
         3034.567     0.004422295
         3036.595     0.004628993
         3038.627     0.004848065
          3040.66      0.00507801
         3042.692     0.005318955
         3044.727     0.005572618
         3046.764     0.005850454
         3048.803     0.006154126
         3050.843     0.006481331
         3052.883     0.006831001
         3054.924     0.007201184
         3056.967     0.007595238
         3059.013     0.008021741
         3061.058     0.008479541
         3063.107     0.008969065
         3065.156     0.009491517
         3067.205      0.01004411
         3069.258      0.01062981
         3071.311      0.01124883
         3073.364      0.01189297
         3075.419      0.01255867
         3077.478      0.01324401
         3079.536      0.01394493
         3081.596       0.0146626
         3083.657      0.01539212
         3085.718       0.0161121
         3087.782      0.01681509
         3089.849      0.01750526
         3091.916      0.01816585
         3093.984      0.01879675
         3096.054      0.01939018
         3098.123      0.01994028
         3100.197       0.0204449
         3102.269      0.02094933
         3104.344       0.0214025
         3106.422      0.02180354
         3108.498      0.02215878
         3110.579         0.02247
          3112.66      0.02274166
          3114.74      0.02298236
         3116.823      0.02319913
          3118.91       0.0233933
         3120.996      0.02355517
         3123.083      0.02368714
         3125.173      0.02380521
         3127.261      0.02392774
         3129.353      0.02406045
         3131.448      0.02419483
         3133.541      0.02432323
         3135.638      0.02443673
         3137.736      0.02455331
         3139.833      0.02469496
         3141.935      0.02484145
         3144.036      0.02498199
         3146.137      0.02512753
         3148.244      0.02530804
         3150.349      0.02548797
         3152.455      0.02564942
         3154.565      0.02582045
         3156.674      0.02600498
         3158.785      0.02620277
         3160.898      0.02641286
         3163.012      0.02662291
         3165.129      0.02683668
         3167.247      0.02704475
         3169.363      0.02723463
         3171.483      0.02742353
         3173.605      0.02762653
         3175.727      0.02782464
         3177.852      0.02798643
         3179.979       0.0281533
         3182.104      0.02832402
         3184.233      0.02848621
         3186.363      0.02864273
         3188.494      0.02877378
         3190.626       0.0288949
         3192.762      0.02902551
         3194.896      0.02915186
         3197.033      0.02926262
         3199.173      0.02936747
         3201.312      0.02947865
         3203.453      0.02958816
         3205.594      0.02968113
          3207.74      0.02976494
         3209.887      0.02984621
         3212.034      0.02992493
         3214.181      0.02999576
         3216.331      0.03007331
          3218.48      0.03014694
         3220.635      0.03021641
         3222.791      0.03028434
         3224.945      0.03036173
         3227.102       0.0304376
          3229.26      0.03049045
          3231.42      0.03055162
         3233.582      0.03063521
         3235.745      0.03072137
         3237.909      0.03079328
         3240.075       0.0308532
         3242.244      0.03091638
         3244.411      0.03099996
         3246.581      0.03108408
         3248.752      0.03115171
         3250.925      0.03121745
         3253.102       0.0312972
         3255.278      0.03137868
         3257.453       0.0314252
         3259.632      0.03145665
         3261.811      0.03149351
         3263.994       0.0315336
         3266.177      0.03157448
         3268.364      0.03159968
         3270.548      0.03164633
         3272.736      0.03169942
