#  Table crwfpc2comp$wfpc2_f380w_004.tab  Thu 08:19:09 15-May-97

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      1850.0    1.6598E-4           0.
      1860.0    6.0098E-6           0.
      1870.0    4.6492E-5           0.
      1880.0    5.8167E-5           0.
      1890.0    1.7828E-5           0.
      1900.0    2.3781E-5           0.
      1910.0    3.2255E-5           0.
      1920.0    1.5027E-5           0.
      1930.0    7.3094E-6           0.
      1940.0    7.3894E-6           0.
      1950.0    1.6988E-5           0.
      1960.0    3.3285E-6           0.
      1970.0    7.5235E-7           0.
      1980.0    2.0970E-6           0.
      1990.0    6.4700E-6           0.
      2000.0    4.1349E-6           0.
      2010.0    2.5142E-6           0.
      2020.0    1.9769E-6           0.
      2030.0    3.8638E-6           0.
      2040.0    4.9123E-6           0.
      2050.0    2.1310E-6           0.
      2060.0    1.6738E-6           0.
      2070.0    2.9204E-6           0.
      2080.0    1.8849E-6           0.
      2090.0    2.0259E-6           0.
      2100.0    2.7213E-6           0.
      2110.0    3.1114E-6           0.
      2120.0    3.4706E-6           0.
      2130.0    2.7313E-6           0.
      2140.0    2.3781E-6           0.
      2150.0    1.2116E-6           0.
      2160.0    6.1158E-7           0.
      2170.0    1.4026E-6           0.
      2180.0    1.6888E-6           0.
      2190.0    1.4967E-6           0.
      2200.0    2.0920E-6           0.
      2210.0    1.1185E-6           0.
      2220.0    6.5060E-7           0.
      2230.0    3.8408E-7           0.
      2240.0    1.0995E-6           0.
      2250.0    1.3226E-6           0.
      2260.0    1.0345E-6           0.
      2270.0    8.6160E-7           0.
      2280.0    7.0943E-7           0.
      2290.0    1.2066E-6           0.
      2300.0    1.3316E-6           0.
      2310.0    1.4357E-6           0.
      2320.0    1.8238E-6           0.
      2330.0    1.1385E-6           0.
      2340.0    9.5034E-7           0.
      2350.0    4.1519E-7           0.
      2360.0    9.9246E-7           0.
      2370.0    9.8786E-7           0.
      2380.0    1.3346E-6           0.
      2390.0    1.7458E-6           0.
      2400.0    1.9529E-6           0.
      2410.0    1.8579E-6           0.
      2420.0    1.4327E-6           0.
      2430.0    1.9979E-6           0.
      2440.0    1.4787E-6           0.
      2450.0    5.1794E-7           0.
      2460.0    9.8716E-7           0.
      2470.0    7.7566E-7           0.
      2480.0    7.1103E-7           0.
      2490.0    8.9722E-7           0.
      2500.0    1.1095E-6           0.
      2510.0    7.7516E-7           0.
      2520.0    1.0925E-6           0.
      2530.0    8.3038E-7           0.
      2540.0    9.7045E-7           0.
      2550.0    6.2029E-7           0.
      2560.0    7.5005E-7           0.
      2570.0    8.7420E-7           0.
      2580.0    7.5385E-7           0.
      2590.0    5.6126E-7           0.
      2600.0    7.7626E-7           0.
      2610.0    1.2506E-6           0.
      2620.0    7.2794E-7           0.
      2630.0    9.6115E-7           0.
      2640.0    7.5755E-7           0.
      2650.0    6.8532E-7           0.
      2660.0    4.0159E-7           0.
      2670.0    4.3720E-7           0.
      2680.0    3.3626E-7           0.
      2690.0    6.2359E-7           0.
      2700.0    1.1305E-6           0.
      2710.0    5.5926E-7           0.
      2720.0    7.6595E-7           0.
      2730.0    9.6475E-7           0.
      2740.0    4.5061E-7           0.
      2750.0    3.1635E-7           0.
      2760.0    3.3536E-7           0.
      2770.0    3.1635E-7           0.
      2780.0    4.7052E-7           0.
      2790.0    1.1815E-6           0.
      2800.0    8.4619E-7           0.
      2810.0    1.2156E-6           0.
      2820.0    1.2986E-6           0.
      2830.0    1.5747E-6           0.
      2840.0    4.4441E-7           0.
      2850.0    1.3616E-6           0.
      2860.0    6.5610E-7           0.
      2870.0    1.0345E-6           0.
      2880.0    7.5475E-7           0.
      2890.0    9.7005E-7           0.
      2900.0    1.0015E-6           0.
      2910.0    1.3786E-6           0.
      2920.0    1.1495E-6           0.
      2930.0    1.0495E-6           0.
      2940.0    1.5727E-6           0.
      2950.0    4.1809E-7           0.
      2960.0    7.2043E-7           0.
      2970.0    1.7848E-6           0.
      2980.0    1.6498E-6           0.
      2990.0    1.3016E-6           0.
      3000.0    1.5987E-6           0.
      3010.0    4.3410E-7           0.
      3020.0    1.0965E-6           0.
      3030.0    1.4037E-6           0.
      3040.0    1.9259E-6           0.
      3050.0    1.3516E-6           0.
      3060.0    1.7888E-6           0.
      3070.0    1.5467E-6           0.
      3080.0    8.6020E-7           0.
      3090.0    1.2556E-6           0.
      3100.0    1.4937E-6           0.
      3110.0    2.4631E-6           0.
      3120.0    1.5637E-6           0.
      3130.0    4.8182E-6           0.
      3140.0    1.1535E-5           0.
      3150.0    2.8703E-5           0.
      3160.0    7.8977E-5           0.
      3170.0    1.7068E-4           0.
      3180.0    3.8908E-4           0.
      3190.0    7.3794E-4           0.
      3200.0    0.0014337           0.
      3210.0    0.0024201           0.
      3220.0    0.0041229           0.
      3230.0    0.0062879           0.
      3240.0    0.0096755           0.
      3250.0     0.013516           0.
      3260.0     0.019029           0.
      3270.0     0.024862           0.
      3290.0     0.030254           0.
      3292.0     0.031735           0.
      3294.0     0.033275           0.
      3296.0     0.034776           0.
      3298.0     0.036217           0.
      3300.0     0.037778           0.
      3302.0     0.039378           0.
      3304.0     0.040919           0.
      3306.0      0.04252           0.
      3308.0      0.04422           0.
      3310.0     0.045941           0.
      3312.0     0.047602           0.
      3314.0     0.049223           0.
      3316.0     0.050944           0.
      3318.0     0.052804           0.
      3320.0     0.054665           0.
      3322.0     0.056526           0.
      3324.0     0.058387           0.
      3326.0     0.060268           0.
      3328.0     0.062329           0.
      3330.0      0.06427           0.
      3332.0     0.066131           0.
      3334.0     0.068152           0.
      3336.0     0.070333           0.
      3338.0     0.072554           0.
      3340.0     0.074695           0.
      3342.0     0.076766           0.
      3344.0     0.079017           0.
      3346.0     0.081418           0.
      3348.0     0.083839           0.
      3350.0       0.0862           0.
      3352.0     0.088461           0.
      3354.0     0.090922           0.
      3356.0     0.093333           0.
      3358.0     0.095734           0.
      3360.0     0.098326           0.
      3362.0      0.10105           0.
      3364.0      0.10365           0.
      3366.0      0.10635           0.
      3368.0      0.10925           0.
      3370.0      0.11215           0.
      3372.0      0.11515           0.
      3374.0      0.11795           0.
      3376.0      0.12076           0.
      3378.0      0.12376           0.
      3380.0      0.12686           0.
      3382.0      0.13006           0.
      3384.0      0.13336           0.
      3386.0      0.13646           0.
      3388.0      0.13976           0.
      3390.0      0.14307           0.
      3392.0      0.14627           0.
      3394.0      0.14957           0.
      3396.0      0.15217           0.
      3398.0      0.15327           0.
      3400.0      0.16007           0.
      3402.0      0.16338           0.
      3404.0      0.16688           0.
      3406.0      0.17058           0.
      3408.0      0.17428           0.
      3410.0      0.17788           0.
      3412.0      0.18158           0.
      3414.0      0.18519           0.
      3416.0      0.18899           0.
      3418.0      0.19279           0.
      3420.0      0.19659           0.
      3422.0      0.20019           0.
      3424.0      0.20389           0.
      3426.0       0.2077           0.
      3428.0       0.2115           0.
      3430.0       0.2151           0.
      3432.0       0.2187           0.
      3434.0       0.2223           0.
      3436.0       0.2259           0.
      3438.0      0.22951           0.
      3440.0      0.23301           0.
      3442.0      0.23661           0.
      3444.0      0.24021           0.
      3446.0      0.24381           0.
      3448.0      0.24731           0.
      3450.0      0.25082           0.
      3452.0      0.25422           0.
      3454.0      0.25742           0.
      3456.0      0.26062           0.
      3458.0      0.26372           0.
      3460.0      0.26672           0.
      3462.0      0.26962           0.
      3464.0      0.27263           0.
      3466.0      0.27553           0.
      3468.0      0.27843           0.
      3470.0      0.28133           0.
      3472.0      0.28423           0.
      3474.0      0.28703           0.
      3476.0      0.28963           0.
      3478.0      0.29214           0.
      3480.0      0.29464           0.
      3482.0      0.29704           0.
      3484.0      0.29954           0.
      3486.0      0.30204           0.
      3488.0      0.30454           0.
      3490.0      0.30684           0.
      3492.0      0.30904           0.
      3494.0      0.31134           0.
      3496.0      0.31355           0.
      3498.0      0.31585           0.
      3500.0      0.31805           0.
      3502.0      0.32025           0.
      3504.0      0.32225           0.
      3506.0      0.32425           0.
      3508.0      0.32635           0.
      3510.0      0.32835           0.
      3512.0      0.33035           0.
      3514.0      0.33235           0.
      3516.0      0.33425           0.
      3518.0      0.33616           0.
      3520.0      0.33836           0.
      3522.0      0.34056           0.
      3524.0      0.34266           0.
      3526.0      0.34486           0.
      3528.0      0.34696           0.
      3530.0      0.34886           0.
      3532.0      0.35096           0.
      3534.0      0.35296           0.
      3536.0      0.35506           0.
      3538.0      0.35717           0.
      3540.0      0.35927           0.
