#  Table crwfpc2comp$wfpc2_f439w_004.tab  Thu 08:19:10 15-May-97

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      1850.0    2.1058E-6           0.
      1860.0    3.2419E-6           0.
      1870.0    7.0811E-5           0.
      1880.0    3.7368E-7           0.
      1890.0    4.9036E-6           0.
      1900.0    1.5334E-4           0.
      1910.0    8.9734E-7           0.
      1920.0    1.6243E-5           0.
      1930.0    3.5587E-6           0.
      1940.0    2.9739E-5           0.
      1950.0    1.9967E-5           0.
      1960.0    8.0144E-6           0.
      1970.0    7.7980E-6           0.
      1980.0    2.8303E-5           0.
      1990.0    2.8868E-5           0.
      2000.0    3.1807E-6           0.
      2010.0    2.6619E-5           0.
      2020.0    2.3412E-5           0.
      2030.0    5.7554E-7           0.
      2040.0    6.1354E-5           0.
      2050.0    1.7325E-5           0.
      2060.0    8.2336E-6           0.
      2070.0    3.2582E-6           0.
      2080.0    3.0266E-7           0.
      2090.0    1.5870E-6           0.
      2100.0    2.2331E-6           0.
      2110.0    9.3879E-6           0.
      2120.0    1.0998E-5           0.
      2130.0    6.1307E-6           0.
      2140.0    5.6234E-7           0.
      2150.0    3.0266E-7           0.
      2160.0    1.9775E-6           0.
      2170.0    3.8268E-6           0.
      2180.0    3.4879E-7           0.
      2190.0    5.3611E-7           0.
      2200.0    2.0991E-6           0.
      2210.0    3.0266E-7           0.
      2220.0    8.3187E-7           0.
      2230.0    3.7770E-7           0.
      2240.0    5.1199E-7           0.
      2250.0    8.6652E-7           0.
      2260.0    1.7736E-6           0.
      2270.0    3.0266E-7           0.
      2280.0    3.0266E-7           0.
      2290.0    4.0871E-6           0.
      2300.0    5.8761E-6           0.
      2310.0    9.5008E-6           0.
      2320.0    1.0548E-6           0.
      2330.0    3.2324E-7           0.
      2340.0    3.3108E-7           0.
      2350.0    3.1749E-7           0.
      2360.0    1.5066E-6           0.
      2370.0    3.1165E-7           0.
      2380.0    3.6037E-7           0.
      2390.0    3.0266E-7           0.
      2400.0    2.7566E-6           0.
      2410.0    3.0266E-7           0.
      2420.0    7.7942E-7           0.
      2430.0    6.2082E-7           0.
      2440.0    6.0474E-7           0.
      2450.0    2.3135E-6           0.
      2460.0    4.1742E-7           0.
      2470.0    7.4113E-7           0.
      2480.0    2.4168E-6           0.
      2490.0    2.6600E-6           0.
      2500.0    1.0156E-6           0.
      2510.0    3.0266E-7           0.
      2520.0    3.0266E-7           0.
      2530.0    7.9024E-7           0.
      2540.0    3.1998E-7           0.
      2550.0    3.0266E-7           0.
      2560.0    5.1141E-7           0.
      2570.0    4.7763E-7           0.
      2580.0    3.9244E-6           0.
      2590.0    6.1728E-7           0.
      2600.0    6.3106E-7           0.
      2610.0    5.1888E-6           0.
      2620.0    1.3553E-6           0.
      2630.0    6.9567E-6           0.
      2640.0    1.7114E-6           0.
      2650.0    3.3654E-7           0.
      2660.0    9.8110E-7           0.
      2670.0    3.0266E-7           0.
      2680.0    6.4963E-7           0.
      2690.0    2.8198E-6           0.
      2700.0    4.9687E-7           0.
      2710.0    7.9378E-7           0.
      2720.0    3.0266E-7           0.
      2730.0    3.0266E-7           0.
      2740.0    2.3374E-6           0.
      2750.0    5.3822E-7           0.
      2760.0    3.0266E-7           0.
      2770.0    3.0266E-7           0.
      2780.0    3.3041E-7           0.
      2790.0    3.8813E-6           0.
      2800.0    3.5243E-7           0.
      2810.0    2.8801E-6           0.
      2820.0    2.9031E-6           0.
      2830.0    5.8225E-6           0.
      2840.0    1.3171E-6           0.
      2850.0    3.0266E-7           0.
