#  Table wf3f953nsys.tab  Mon 12:22:25 02-Jun-97

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            9456     0.
            9457.     9.852930E-5
            9458.     7.967556E-5
            9459.     4.711886E-5
            9460.     7.928605E-5
            9461.     8.589646E-5
            9462.     7.423231E-5
            9463.     6.585444E-5
            9464.     1.043003E-4
            9465.     1.265352E-4
            9466.     8.890074E-5
         9467.001     9.422819E-5
            9468.     1.039777E-4
         9469.001     9.469096E-5
            9470.     9.448366E-5
         9470.999     1.138771E-4
            9472.     1.102409E-4
         9472.999     1.034598E-4
            9474.     1.502307E-4
            9475.     1.204546E-4
            9476.     1.398218E-4
            9477.     1.199256E-4
            9478.     1.282624E-4
         9478.999     1.269697E-4
            9480.     1.504079E-4
            9481.     1.575724E-4
            9482.     1.465740E-4
            9483.     1.632577E-4
            9484.     1.957646E-4
            9485.     2.090958E-4
         9486.001     2.137911E-4
            9487.     2.552722E-4
            9488.     2.954571E-4
            9489.     3.159703E-4
            9490.     3.724101E-4
            9491.     3.942705E-4
            9492.     4.743844E-4
            9493.     5.939018E-4
            9494.     6.595063E-4
            9495.     7.562091E-4
            9496.     9.722851E-4
            9497.     0.001147181
         9497.999     0.001338907
            9499.     0.001586185
            9500.     0.001890454
            9501.     0.002375852
            9502.     0.002817723
            9503.     0.003275057
            9504.      0.00379689
         9505.001     0.004682251
         9505.999      0.00575627
            9507.     0.006550573
            9508.     0.007449759
            9509.     0.008688129
            9510.      0.01018141
            9511.      0.01141725
            9512.      0.01258695
         9513.001      0.01382729
            9514.      0.01546003
            9515.      0.01665857
            9516.      0.01748784
         9516.999      0.01838334
            9518.      0.01951607
            9519.      0.02027052
            9520.      0.02075556
            9521.      0.02115513
            9522.       0.0215658
            9523.       0.0218816
            9524.      0.02204392
         9524.999      0.02210495
            9526.      0.02213396
            9527.      0.02209906
            9528.      0.02209109
            9529.      0.02204643
            9530.      0.02199694
            9531.      0.02195238
         9532.001      0.02191509
            9533.      0.02184398
            9534.      0.02181412
            9535.       0.0217891
            9536.      0.02172541
            9537.      0.02171489
         9538.001      0.02169946
            9539.      0.02165521
            9540.      0.02162057
            9541.      0.02158115
         9541.999      0.02154419
            9543.      0.02150718
         9543.999      0.02146073
            9545.      0.02141424
            9546.      0.02135118
            9547.      0.02131912
            9548.      0.02123723
            9549.      0.02118393
            9550.      0.02109995
            9551.      0.02106575
            9552.       0.0209891
            9553.      0.02092202
            9554.      0.02085035
            9555.      0.02076942
            9556.      0.02073554
         9557.001      0.02067121
            9558.      0.02064911
         9559.001      0.02062464
            9560.      0.02062112
            9561.      0.02059427
            9562.      0.02061155
         9562.999      0.02061013
            9564.      0.02059473
            9565.      0.02059779
            9566.      0.02055226
            9567.      0.02049064
            9568.       0.0203992
         9568.999      0.02017716
            9570.      0.01985203
            9571.      0.01943409
            9572.      0.01898992
            9573.      0.01843511
            9574.       0.0175581
            9575.      0.01648791
         9576.001       0.0156247
            9577.      0.01471368
            9578.      0.01359377
            9579.       0.0120451
            9580.      0.01083785
            9581.     0.009796751
            9582.     0.008657519
            9583.     0.007198014
         9584.001     0.006155425
            9585.     0.005397772
            9586.     0.004612647
            9587.     0.003733895
         9587.999     0.003023687
            9589.     0.002559348
            9590.     0.002213694
            9591.     0.001780533
            9592.     0.001371351
            9593.     0.001142301
            9594.     0.001003693
         9595.001     8.388766E-4
         9595.999     6.658395E-4
            9597.     5.436475E-4
            9598.     4.808574E-4
            9599.     4.303233E-4
            9600.     3.440555E-4
            9601.     2.709556E-4
            9602.     2.615744E-4
         9603.001     2.441203E-4
            9604.     2.001470E-4
            9605.     1.845607E-4
            9606.     1.506433E-4
            9607.     1.479320E-4
            9608.     1.408212E-4
            9609.     1.395568E-4
            9610.     1.259995E-4
            9611.     1.095188E-4
            9612.     8.948532E-5
            9613.     9.503919E-5
            9614.     9.109676E-5
         9614.999     8.727733E-5
            9616.     1.019932E-4
            9617.     7.661922E-5
            9618.     7.498403E-5
            9619.     5.690917E-5
            9620.     5.251486E-5
            9621.     6.226227E-5
         9622.001     6.909651E-5
            9623.     5.977960E-5
            9624.     5.395642E-5
            9625.     5.666089E-5
            9626.     6.816512E-5
            9627.     5.689102E-5
         9628.001     5.327794E-5
            9629.     4.691351E-5
         9630.001     6.258604E-5
            9631.     6.310458E-5
         9631.999     5.882920E-5
            9633.     5.312924E-5
         9633.999     6.046193E-5
            9635.     4.741362E-5
            9636.     5.537718E-5
            9637.     5.388345E-5
            9638.     4.626914E-5
            9639.     1.793454E-5
         9639.999     4.935923E-5
            9641.     5.257800E-5
            9642.     4.044328E-5
            9643.     5.951188E-5
            9644.     4.018331E-5
            9645.     4.401436E-5
            9646.     5.770669E-5
         9647.001     3.522673E-5
            9648.     4.162619E-5
            9649.     3.957773E-5
            9650.     6.923237E-5
            9651.              0.
