#  Table pcf953nsys.tab  Mon 12:21:21 02-Jun-97

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            9456     0.
            9457.     9.057453E-5
            9458.     7.323319E-5
            9459.     4.330316E-5
            9460.     7.285568E-5
            9461.     7.891934E-5
            9462.     6.819342E-5
            9463.     6.048890E-5
            9464.     9.578934E-5
            9465.     1.161940E-4
            9466.     8.162403E-5
         9467.001     8.650350E-5
            9468.     9.544057E-5
         9469.001     8.690426E-5
            9470.     8.670197E-5
         9470.999     1.044836E-4
            9472.     1.011331E-4
         9472.999     9.489893E-5
            9474.     1.377802E-4
            9475.     1.104561E-4
            9476.     1.281975E-4
            9477.     1.099397E-4
            9478.     1.175654E-4
         9478.999     1.163638E-4
            9480.     1.378242E-4
            9481.     1.443683E-4
            9482.     1.342720E-4
            9483.     1.495336E-4
            9484.     1.792815E-4
            9485.     1.914619E-4
         9486.001     1.957323E-4
            9487.     2.336749E-4
            9488.     2.704196E-4
            9489.     2.891511E-4
            9490.     3.407492E-4
            9491.     3.606967E-4
            9492.     4.339228E-4
            9493.     5.431636E-4
            9494.     6.030712E-4
            9495.     6.913930E-4
            9496.     8.888118E-4
            9497.      0.00104853
         9497.999      0.00122358
            9499.     0.001449332
            9500.     0.001727079
            9501.      0.00217045
            9502.     0.002574024
            9503.     0.002991695
            9504.      0.00346825
         9505.001     0.004276821
         9505.999     0.005257647
            9507.     0.005982923
            9508.     0.006803935
            9509.     0.007934653
            9510.     0.009298079
            9511.      0.01042631
            9512.      0.01149405
         9513.001      0.01262622
            9514.      0.01411661
            9515.      0.01521042
            9516.        0.015967
         9516.999      0.01678398
            9518.      0.01781748
            9519.      0.01850556
            9520.      0.01894764
            9521.      0.01931166
            9522.      0.01968578
            9523.      0.01997327
            9524.      0.02012066
         9524.999      0.02017558
            9526.      0.02020126
            9527.      0.02016863
            9528.      0.02016056
            9529.      0.02011901
            9530.      0.02007306
            9531.       0.0200316
         9532.001      0.01999678
            9533.      0.01993111
            9534.      0.01990307
            9535.      0.01987944
            9536.      0.01982054
            9537.      0.01981015
         9538.001      0.01979528
            9539.      0.01975411
            9540.      0.01972171
            9541.      0.01968496
         9541.999      0.01965044
            9543.      0.01961588
         9543.999      0.01957271
            9545.      0.01952951
            9546.       0.0194712
            9547.      0.01944116
            9548.      0.01936568
            9549.      0.01931628
            9550.       0.0192389
            9551.      0.01920692
            9552.      0.01913623
            9553.      0.01907427
            9554.      0.01900813
            9555.      0.01893355
            9556.      0.01890186
         9557.001      0.01884243
            9558.      0.01882149
         9559.001      0.01879837
            9560.      0.01879437
            9561.      0.01876909
            9562.      0.01878403
         9562.999      0.01878192
            9564.      0.01876708
            9565.      0.01876904
            9566.      0.01872675
            9567.      0.01866979
            9568.      0.01858566
         9568.999      0.01838255
            9570.      0.01808554
            9571.      0.01770402
            9572.      0.01729861
            9573.      0.01679247
            9574.       0.0159929
            9575.      0.01501744
         9576.001      0.01423058
            9577.      0.01340025
            9578.      0.01237975
            9579.      0.01096889
            9580.     0.009869063
            9581.     0.008920618
            9582.     0.007882911
            9583.     0.006553693
         9584.001     0.005604174
            9585.     0.004914146
            9586.     0.004199174
            9587.     0.003399034
         9587.999     0.002752392
            9589.     0.002329607
            9590.     0.002014887
            9591.     0.001620551
            9592.     0.001248076
            9593.     0.001039567
            9594.     9.133816E-4
         9595.001     7.633595E-4
         9595.999     6.058709E-4
            9597.     4.946605E-4
            9598.     4.375075E-4
            9599.     3.915103E-4
            9600.     3.130085E-4
            9601.     2.464932E-4
            9602.     2.379475E-4
         9603.001     2.220591E-4
            9604.     1.820509E-4
            9605.     1.678657E-4
            9606.     1.370097E-4
            9607.     1.345371E-4
            9608.     1.280640E-4
            9609.     1.269078E-4
            9610.     1.145737E-4
            9611.     9.958257E-5
            9612.     8.136260E-5
            9613.     8.640804E-5
            9614.     8.281950E-5
         9614.999     7.934314E-5
            9616.     9.271655E-5
            9617.     6.964694E-5
            9618.     6.815710E-5
            9619.     5.172524E-5
            9620.     4.772878E-5
            9621.     5.658496E-5
         9622.001     6.279280E-5
            9623.     5.432309E-5
            9624.     4.902891E-5
            9625.     5.148375E-5
            9626.     6.193362E-5
            9627.     5.168749E-5
         9628.001     4.840235E-5
            9629.     4.261811E-5
         9630.001     5.685269E-5
            9631.     5.732072E-5
         9631.999     5.343439E-5
            9633.     4.825457E-5
         9633.999     5.491157E-5
            9635.     4.305879E-5
            9636.     5.028824E-5
            9637.     4.892916E-5
            9638.     4.201267E-5
            9639.     1.628381E-5
         9639.999     4.481367E-5
            9641.     4.773343E-5
            9642.     3.671481E-5
            9643.     5.402253E-5
            9644.     3.647482E-5
            9645.     3.995011E-5
            9646.     5.237522E-5
         9647.001     3.197040E-5
            9648.     3.777620E-5
            9649.     3.591520E-5
            9650.     6.282210E-5
            9651.              0.
